IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.66.215.86,4,4,0,179.32,1.49
172.67.123.156,4,4,0,179.49,1.46
172.67.226.243,4,4,0,182.19,1.29
172.66.149.38,4,4,0,180.28,1.22
172.67.233.219,4,4,0,180.71,1.12
172.67.63.65,4,4,0,181.85,1.12
172.67.196.0,4,4,0,180,1.05
172.64.82.59,4,4,0,181.26,0.96
172.66.134.162,4,4,0,176.42,0.95
172.66.201.130,4,4,0,179.73,0.93
172.66.167.248,4,4,0,179.96,0.92
172.67.206.172,4,4,0,176.56,0.88
172.67.98.246,4,4,0,180.77,0.84
172.66.174.209,4,4,0,181.1,0.77
172.66.168.73,4,4,0,180.87,0.75
172.66.129.33,4,4,0,182.44,0.72
172.66.130.241,4,4,0,179.26,0.63
172.66.140.240,4,4,0,179.18,0.6
172.64.84.38,4,4,0,181.54,0.55
172.67.54.234,4,4,0,180.15,0.52
172.67.118.169,4,4,0,180.59,0.43
172.67.195.230,4,4,0,183.3,0.39
172.66.128.90,4,4,0,182.7,0.32
172.66.200.206,4,4,0,180.56,0.28
104.18.88.93,4,4,0,159.78,0.13
