IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.235.22,4,4,0.00,65.40,0.00
104.18.239.48,4,4,0.00,66.68,0.00
104.25.243.53,4,4,0.00,67.12,0.00
104.17.136.135,4,4,0.00,68.32,0.00
104.18.232.180,4,4,0.00,68.76,0.00
162.159.60.120,4,4,0.00,69.14,0.00
104.17.203.179,4,4,0.00,69.18,0.00
104.19.208.241,4,4,0.00,69.59,0.00
104.17.135.252,4,4,0.00,69.94,0.00
104.19.214.29,4,4,0.00,71.66,0.00
104.16.2.254,4,4,0.00,90.30,0.00
104.18.190.68,4,4,0.00,92.08,0.00
104.17.138.158,4,4,0.00,92.09,0.00
104.18.189.136,4,4,0.00,93.97,0.00
104.16.6.63,4,4,0.00,93.99,0.00
104.16.8.68,4,4,0.00,93.99,0.00
104.16.4.231,4,4,0.00,94.12,0.00
104.17.137.174,4,4,0.00,94.31,0.00
104.17.139.176,4,4,0.00,94.57,0.00
104.17.141.109,4,4,0.00,94.59,0.00
104.19.223.165,4,4,0.00,94.60,0.00
104.17.205.54,4,4,0.00,95.23,0.00
104.17.133.84,4,4,0.00,95.46,0.00
104.18.233.165,4,4,0.00,95.88,0.00
104.19.213.78,4,4,0.00,96.00,0.00
104.18.234.93,4,4,0.00,96.37,0.00
104.16.14.201,4,4,0.00,96.64,0.00
104.17.140.187,4,4,0.00,97.89,0.00
190.93.246.65,4,4,0.00,97.92,0.00
104.19.209.188,4,4,0.00,97.98,0.00
104.17.199.49,4,4,0.00,98.51,0.00
104.17.202.108,4,4,0.00,99.25,0.00
104.17.204.132,4,4,0.00,99.50,0.00
190.93.247.1,4,4,0.00,99.59,0.00
104.17.131.224,4,4,0.00,100.73,0.00
104.19.220.152,4,4,0.00,100.85,0.00
190.93.244.6,4,4,0.00,101.74,0.00
104.17.130.136,4,4,0.00,102.03,0.00
190.93.245.42,4,4,0.00,102.69,0.00
104.19.59.163,4,4,0.00,103.44,0.00
141.101.115.206,4,4,0.00,103.56,0.00
141.101.114.112,4,4,0.00,103.94,0.00
104.19.62.184,4,4,0.00,108.43,0.00
104.19.56.146,4,4,0.00,109.11,0.00
162.159.43.160,4,4,0.00,116.22,0.00
162.159.35.222,4,4,0.00,116.99,0.00
104.17.111.83,4,4,0.00,118.14,0.00
104.16.12.26,4,4,0.00,118.48,0.00
104.16.9.68,4,4,0.00,118.61,0.00
104.17.163.239,4,4,0.00,118.97,0.00
104.18.186.223,4,4,0.00,119.38,0.00
104.18.188.42,4,4,0.00,120.07,0.00
104.17.169.112,4,4,0.00,120.93,0.00
172.64.159.77,4,4,0.00,120.98,0.00
104.17.216.170,4,4,0.00,121.35,0.00
104.17.160.80,4,4,0.00,121.36,0.00
104.17.214.138,4,4,0.00,121.36,0.00
104.16.0.134,4,4,0.00,121.47,0.00
104.17.119.106,4,4,0.00,121.54,0.00
104.16.10.245,4,4,0.00,121.64,0.00
104.17.56.155,4,4,0.00,121.94,0.00
104.17.187.162,4,4,0.00,122.10,0.00
